"id","amount_max","amount_min","hr_kategori_ter_id/id","tarif"
"__export__.hr_perhitungan_pph_1_c0c02287","5400000.0","0.0","__export__.hr_kategori_ter_1_efec1f0f","0.0"
"__export__.hr_perhitungan_pph_2_8202482e","5650000.0","5400001.0","__export__.hr_kategori_ter_1_efec1f0f","0.25"
"__export__.hr_perhitungan_pph_3_3b244726","5950000.0","5650001.0","__export__.hr_kategori_ter_1_efec1f0f","0.5"
"__export__.hr_perhitungan_pph_4_5d87f6e4","6300000.0","5950001.0","__export__.hr_kategori_ter_1_efec1f0f","0.75"
"__export__.hr_perhitungan_pph_5_683ce63a","6750000.0","6300001.0","__export__.hr_kategori_ter_1_efec1f0f","1.0"
"__export__.hr_perhitungan_pph_6_49b12d0f","7500000.0","6750001.0","__export__.hr_kategori_ter_1_efec1f0f","1.25"
"__export__.hr_perhitungan_pph_7_f7bef91d","8550000.0","7500001.0","__export__.hr_kategori_ter_1_efec1f0f","1.5"
"__export__.hr_perhitungan_pph_8_9081303d","9650000.0","8550001.0","__export__.hr_kategori_ter_1_efec1f0f","1.75"
"__export__.hr_perhitungan_pph_9_e3fab1b0","10050000.0","9650001.0","__export__.hr_kategori_ter_1_efec1f0f","2.0"
"__export__.hr_perhitungan_pph_10_0803c608","10350000.0","10050001.0","__export__.hr_kategori_ter_1_efec1f0f","2.25"
"__export__.hr_perhitungan_pph_11_c3c89700","10700000.0","10350001.0","__export__.hr_kategori_ter_1_efec1f0f","2.5"
"__export__.hr_perhitungan_pph_12_33523582","11050000.0","10700001.0","__export__.hr_kategori_ter_1_efec1f0f","3.0"
"__export__.hr_perhitungan_pph_13_74bb1093","11600000.0","11050001.0","__export__.hr_kategori_ter_1_efec1f0f","3.5"
"__export__.hr_perhitungan_pph_14_dfafde24","12500000.0","11600001.0","__export__.hr_kategori_ter_1_efec1f0f","4.0"
"__export__.hr_perhitungan_pph_15_eb50c813","13750000.0","12500001.0","__export__.hr_kategori_ter_1_efec1f0f","5.0"
"__export__.hr_perhitungan_pph_16_bd33414a","15100000.0","13750001.0","__export__.hr_kategori_ter_1_efec1f0f","6.0"
"__export__.hr_perhitungan_pph_17_cd751264","16950000.0","15100001.0","__export__.hr_kategori_ter_1_efec1f0f","7.0"
